zip,sub_region
98014,East Rural
98019,East Rural
98024,East Rural
98045,East Rural
98050,East Rural
98065,East Rural
98068,East Rural
98224,East Rural
98251,East Rural
98288,East Rural
98114,Seattle
98121,Seattle
98129,Seattle
98007,East Urban
98008,East Urban
98009,East Urban
98015,East Urban
98027,East Urban
98029,East Urban
98033,East Urban
98034,East Urban
98039,East Urban
98040,East Urban
98052,East Urban
98053,East Urban
98059,East Urban
98073,East Urban
98074,East Urban
98075,East Urban
98083,East Urban
98011,North
98028,North
98041,North
98072,North
98082,North
98155,North
98160,North
98133,North & Seattle Northwest
98177,North & Seattle Northwest
98101,Seattle Downtown
98102,Seattle Capitol Hill
98103,Seattle Lake Union
98104,Seattle Downtown
98105,Seattle Northeast
98106,Seattle Delridge
98107,Seattle Ballard
98108,Seattle Duwamish
98109,Seattle Queen Anne/Magnolia
98111,Seattle Downtown
98112,Seattle Capitol Hill
98114,Seattle Downtown
98115,Seattle Northeast
98116,Seattle Southwest
98117,Seattle Ballard
98118,Seattle Southeast
98119,Seattle Queen Anne/Magnolia
98121,Seattle Downtown
98122,Seattle Central
98124,Seattle Duwamish
98125,Seattle North
98126,Seattle
98129,Seattle Downtown
98134,Seattle Duwamish
98136,Seattle Southwest
98144,Seattle Southeast
98145,Seattle Northeast
98154,Seattle Downtown
98161,Seattle Downtown
98164,Seattle Downtown
98174,Seattle Downtown
98181,Seattle Downtown
98184,Seattle Downtown
98185,Seattle Northeast
98191,Seattle Downtown
98195,Seattle Northeast
98199,Seattle Queen Anne/Magnolia
98146,South & Seattle Southwest
98010,South Rural
98022,South Rural
98025,South Rural
98038,South Rural
98051,South Rural
98001,South Urban
98002,South Urban
98003,South Urban
98023,South Urban
98030,South Urban
98031,South Urban
98032,South Urban
98035,South Urban
98042,South Urban
98047,South Urban
98054,South Urban
98055,South Urban
98056,South Urban
98057,South Urban
98058,South Urban
98062,South Urban
98063,South Urban
98064,South Urban
98071,South Urban
98092,South Urban
98093,South Urban
98131,South Urban
98132,South Urban
98138,South Urban
98148,South Urban
98151,South Urban
98158,South Urban
98166,South Urban
98168,South Urban
98170,South Urban
98171,South Urban
98178,South Urban
98188,South Urban
98190,South Urban
98198,South Urban
98354,South Urban
98013,Vashon Island
98070, Vashon Island